x,a,b,c,d,index_value,true_index_value
421,213,47,82,120,373,3897.25
422,213,47,82,122,370,3897.44
423,213,47,82,122,368,3897.57
424,213,47,82,122,368,3897.57
425,214,48,82,123,374,3897.19
426,214,50,82,124,380,3896.8
427,214,51,83,124,387,3896.35
428,215,53,84,124,397,3895.71
429,215,55,86,125,404,3895.26
430,216,57,87,126,410,3894.87
431,216,57,89,127,415,3894.55
432,216,57,89,128,410,3894.87
433,216,57,90,128,405,3895.19
434,216,56,89,128,396,3895.77
435,215,54,88,128,386,3896.41
436,215,53,87,128,384,3896.54
437,215,52,86,128,384,3896.54
438,215,51,85,127,385,3896.48
439,215,51,84,126,385,3896.48
440,215,52,84,126,391,3896.09
441,215,53,84,126,394,3895.9
442,215,54,87,127,398,3895.64
443,215,54,88,127,397,3895.71
444,215,53,88,126,391,3896.09
445,215,52,88,124,384,3896.54
446,215,50,86,124,380,3896.8
447,214,50,85,124,384,3896.54
448,214,51,85,125,385,3896.48
449,214,52,87,125,392,3896.03
450,214,53,87,126,392,3896.03
451,215,54,88,126,394,3895.9
452,215,55,89,128,397,3895.71
453,216,56,90,129,398,3895.64
454,216,57,90,129,399,3895.58
455,216,57,92,130,396,3895.77
456,216,57,92,131,393,3895.96
457,216,56,92,130,384,3896.54
458,216,55,91,130,383,3896.61
459,216,53,90,129,374,3897.19
460,216,53,89,129,372,3897.31
461,216,52,88,129,371,3897.38
462,215,52,87,129,369,3897.51
463,215,54,87,129,375,3897.12
464,216,56,89,130,379,3896.86
465,216,57,90,130,385,3896.48
466,216,57,91,130,384,3896.54
467,216,57,90,131,384,3896.54
468,216,58,90,131,383,3896.61
469,216,58,91,131,381,3896.74
470,216,57,90,131,372,3897.31
471,216,56,89,130,371,3897.38
472,216,56,89,130,365,3897.77
473,216,55,89,130,363,3897.89
474,216,55,89,130,360,3898.09
475,216,55,88,130,360,3898.09
476,216,54,88,130,361,3898.02
477,216,54,88,130,359,3898.15
478,216,53,88,130,354,3898.47
479,215,52,86,129,349,3898.79
480,215,51,85,129,344,3899.12
481,215,50,84,129,347,3898.92
482,215,51,84,129,359,3898.15
483,215,52,86,130,364,3897.83
484,215,53,87,130,370,3897.44
485,215,54,86,130,370,3897.44
486,216,54,86,130,371,3897.38
487,216,54,87,131,371,3897.38
488,216,54,87,132,370,3897.44
489,216,54,87,131,369,3897.51
490,216,54,87,131,365,3897.77
491,216,54,87,131,364,3897.83
492,216,54,87,130,362,3897.96
493,215,53,87,130,364,3897.83
494,215,53,86,130,362,3897.96
495,215,54,86,130,368,3897.57
496,216,57,86,131,378,3896.93
497,216,60,89,133,387,3896.35
498,217,62,92,133,391,3896.09
499,217,62,94,134,387,3896.35
500,217,62,95,135,386,3896.41
501,217,62,95,135,385,3896.48
502,217,63,95,136,388,3896.29
503,217,63,95,137,387,3896.35
504,218,64,95,137,386,3896.41
505,218,65,96,137,385,3896.48
506,217,65,96,138,388,3896.29
507,219,66,97,139,390,3896.16
508,219,67,97,140,391,3896.09
509,219,67,97,140,395,3895.83
510,219,67,97,140,396,3895.77
511,219,67,97,141,396,3895.77
512,219,67,97,139,397,3895.71
513,219,69,98,138,408,3895.0
514,220,74,98,139,426,3893.84
515,221,77,102,144,437,3893.13
516,222,82,108,146,449,3892.36
517,222,84,112,148,449,3892.36
518,223,86,113,149,450,3892.29
519,223,87,115,151,449,3892.36
520,224,88,115,152,447,3892.49
521,224,88,116,153,446,3892.55
522,225,88,117,155,447,3892.49
523,225,89,117,156,449,3892.36
524,225,90,117,156,454,3892.04
525,225,91,117,157,458,3891.78
526,226,93,119,158,460,3891.65
527,227,94,119,160,460,3891.65
528,227,94,121,163,458,3891.78
529,227,96,121,163,458,3891.78
530,227,98,121,164,462,3891.52
531,227,100,123,164,467,3891.2
532,227,98,122,164,467,3891.2
533,227,96,122,164,464,3891.39
534,227,95,121,164,458,3891.78
535,227,94,120,164,459,3891.72
536,227,94,119,164,460,3891.65
537,227,94,118,164,459,3891.72
538,227,94,118,165,456,3891.91
539,227,95,118,165,457,3891.84
540,228,97,118,165,461,3891.59
541,228,100,118,166,464,3891.39
542,228,107,120,166,463,3891.46
543,228,109,122,166,458,3891.78
544,228,113,125,166,468,3891.14
545,228,114,126,167,469,3891.07
546,228,114,120,166,461,3891.59
547,227,113,121,165,453,3892.1
548,227,113,120,165,435,3893.26
549,227,113,120,164,427,3893.78
550,227,112,122,163,422,3894.1
551,226,112,121,163,429,3893.65
552,226,112,121,163,433,3893.39
553,227,112,123,164,435,3893.26
554,227,112,125,165,430,3893.58
555,227,112,124,165,428,3893.71
556,227,110,123,165,420,3894.23
557,226,109,122,165,419,3894.29
558,226,109,121,165,418,3894.35
559,226,110,123,165,425,3893.9
560,227,110,125,165,426,3893.84
561,227,111,125,165,433,3893.39
562,227,112,126,166,436,3893.2
563,227,112,126,167,437,3893.13
564,227,112,126,166,436,3893.2
565,227,111,125,166,430,3893.58
566,227,110,124,166,428,3893.71
567,227,110,123,165,425,3893.9
568,226,109,123,165,423,3894.03
569,226,108,123,165,422,3894.1
570,226,108,122,164,423,3894.03
571,226,108,122,164,422,3894.1
572,226,107,121,164,418,3894.35
573,226,106,121,164,416,3894.48
574,226,106,121,164,416,3894.48
575,226,106,120,164,416,3894.48
576,226,105,120,164,407,3895.06
577,226,103,120,164,402,3895.38
